id,Agent,Group
0,Formaldéhyde,1
1,Phénobarbital,2B
2,Mitomycine C,2B
3,Cyclophosphamide,1
4,"DDT (4,4'-dichlorodiphényltrichloroéthane)",2A
5,Benzo [a] pyrène,1
6,Phénylbutazone,3
7,Citrate de clomifène,3
8,6-mercaptopurine,3
9,Reserpine,3
10,Actinomycine D,3
11,Chlorhydrate de Pronetalol,3
12,Butoxyde de pipéronyle,3
13,2.4.6-Tris (1-aziridinyl) -s-triazine,3
14,5-fluorouracile,3
15,Propylthiouracil,2B
16,Moutarde à l'azote,2A
17,Carbamate d'éthyle (uréthane),2A
18,Spironolactone,3
19,Thiotepa,1
20,Apholate,3
21,Trichlorfon,3
22,Prednisone,3
23,Dibenz [a.h] anthracène,2A
24,Chloroquine,3
25,Furosémide (Frusémide),3
26,Hydrazide d'acide isonicotinique (Isoniazid),3
27,N-nitrosodiéthylamine,2A
28,"1,4-butanediol diméthanesulfonate",1
29,Busulfan,1
30,Myleran,1
31,Méthylthiouracil,2B
32,Le tétrachlorure de carbone,2B
33,Cantharidine,3
34,Parathion,2B
35,Diethylstilbestrol,1
36,Benz [a] anthracène,2B
37,Chloramphénicol,2A
38,Isothiocyanate d'allyle,3
39,1.1-Diméthylhydrazine,2B
40,L'oxyde de tris (2-méthyl-1-aziridinyl) phosphine,3
41,Phénytoïne,2B
42,bêta-propiolactone,2B
43,Sulfaméthazine,3
44,Chlordane,2B
45,Cholestérol,3
46,Caféine,3
47,Pyriméthamine,3
48,Théophylline,3
49,Lindane (voir Hexachlorocyclohexanes),1
50,Hydrochlorothiazide,2B
51,Méthotrexate,3
52,Nitrofural (Nitrofurazone),3
53,N-nitrosomorpholine,2B
54,para-Aminoazobenzène,2B
55,para-diméthylaminoazobenzène,2B
56,Acétamide,2B
57,Méthimazole,3
58,Dieldrin,2A
59,Dieldrin. et l'aldrine métabolisée en dieldrine,2A
60,Niridazole,2B
61,Amitrole,3
62,Phénacétine,1
63,Méthanesulfonate d'éthyle,2B
64,Aniline,3
65,Thioacétamide,2B
66,Thiourée,3
67,Dichlorvos,2B
68,N-nitrosodiméthylamine,2A
69,Carbaryl,3
70,Chlorhydrate de phénoxybenzamine,2B
71,L'éthanol dans les boissons alcoolisées,1
72,Sulfate de diéthyle,2A
73,Méthanesulfonate de méthyle,2A
74,Uracil moutarde,2B
