,idx,name,eans,slug
0,101146800000,V6 Dental White Spearmint,5700626503125,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
1,101146800000,V6 Dental White Spearmint,5704592009001,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
2,107306500000,M-Quick Boisson au cacao,7613312049297,supermarche/denrees-alimentaires/petit-dejeuner/cacao-chocolats-en-poudre
3,107306500000,M-Quick Boisson au cacao,7610121500315,supermarche/denrees-alimentaires/petit-dejeuner/cacao-chocolats-en-poudre
4,107306500000,M-Quick Boisson au cacao,7613312049303,supermarche/denrees-alimentaires/petit-dejeuner/cacao-chocolats-en-poudre
5,107306500000,M-Quick Boisson au cacao,7610121930501,supermarche/denrees-alimentaires/petit-dejeuner/cacao-chocolats-en-poudre
6,101110300000,Skai the bigger gum Crunchy mint,7616500651555,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
7,101110300000,Skai the bigger gum Crunchy mint,7616500383579,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
8,120268200000,Red Bull Energy Drink,9002490206789,supermarche/denrees-alimentaires/boissons-chaudes-froides/boissons-energetiques
9,120268200000,Red Bull Energy Drink,9002490206796,supermarche/denrees-alimentaires/boissons-chaudes-froides/boissons-energetiques
10,100130400000,Lait extra fin sans sucre,7616500912472,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11,100130400000,Lait extra fin sans sucre,7616500092631,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
12,100130400000,Lait extra fin sans sucre,7616500357310,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
13,110183600000,Bio Choco Cookies,7617400037784,supermarche/denrees-alimentaires/chocolat/sain-bio
14,110183600000,Bio Choco Cookies,7624200017137,supermarche/denrees-alimentaires/chocolat/sain-bio
15,153232000000,Longobardi Tomates pelées,8002510010007,supermarche/denrees-alimentaires/garnitures-ingredients/tomates-en-conserve
16,153232000000,Longobardi Tomates pelées,7610200011855,supermarche/denrees-alimentaires/garnitures-ingredients/tomates-en-conserve
17,153232000000,Longobardi Tomates pelées,2030000003594,supermarche/denrees-alimentaires/garnitures-ingredients/tomates-en-conserve
18,273705702400,M-Budget Courgettes,7617027953504,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-frais
19,273705702400,M-Budget Courgettes,7617027953511,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-frais
20,241170000000,Optigal Cuisse de poulet 4 piéce,2148636000006,supermarche/denrees-alimentaires/viande/volaille
21,241170000000,Optigal Cuisse de poulet 4 piéce,7617023006280,supermarche/denrees-alimentaires/viande/volaille
22,241170000000,Optigal Cuisse de poulet 4 piéce,7617023006297,supermarche/denrees-alimentaires/viande/volaille
23,101582000000,Kinder Riegel,4008400221021,supermarche/denrees-alimentaires/chocolat/chocolat/chocolat-pour-les-enfants
24,101582000000,Kinder Riegel,4008400222806,supermarche/denrees-alimentaires/chocolat/chocolat/chocolat-pour-les-enfants
25,158512300000,Namaste India Palak paneer,7613312065945,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/inde
26,158512300000,Namaste India Palak paneer,7613312065952,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/inde
27,230110650910,Saucisse rôtir veau Terrasuisse,7617027611824,supermarche/denrees-alimentaires/viande/saucisses/saucisses-non-fumees
28,230110650910,Saucisse rôtir veau Terrasuisse,7617027611831,supermarche/denrees-alimentaires/viande/saucisses/saucisses-non-fumees
29,110138200000,Petit Beurre Chocolat Noir,7617400032796,supermarche/denrees-alimentaires/chocolat/biscuits-gaufres
30,110138200000,Petit Beurre Chocolat Noir,7624200010619,supermarche/denrees-alimentaires/chocolat/biscuits-gaufres
31,110138200000,Petit Beurre Chocolat Noir,7624200018363,supermarche/denrees-alimentaires/chocolat/biscuits-gaufres
32,110138200000,Petit Beurre Chocolat Noir,7624200014693,supermarche/denrees-alimentaires/chocolat/biscuits-gaufres
33,157242800000,Knorr Asia noodles Green curry,8710908971969,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks
34,157242800000,Knorr Asia noodles Green curry,8710447907931,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks
35,106081000000,Soupe de chalet,7640134992128,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
36,106081000000,Soupe de chalet,7640134992159,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
37,107091800000,Alnatura Moment de détente,4104420039728,supermarche/denrees-alimentaires/boissons-chaudes-froides
38,107091800000,Alnatura Moment de détente,7613269435037,supermarche/denrees-alimentaires/boissons-chaudes-froides
39,107091800000,Alnatura Moment de détente,7613269435044,supermarche/denrees-alimentaires/boissons-chaudes-froides
40,107091800000,Alnatura Moment de détente,4104420144934,supermarche/denrees-alimentaires/boissons-chaudes-froides
41,107091800000,Alnatura Moment de détente,4104420039735,supermarche/denrees-alimentaires/boissons-chaudes-froides
