,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
0,/CHOCOLAT/BONBONS_CHEWING_GUM,1168.258,0.10855172413793095,1.5857241379310343,31.875517241379303,77.12275862068967,1.4296551724137934,0.18000000000000002,2.9213793103448276,0.3448275862068966,0.007586206896551725,0.08275862068965517,0.0,0.0,0.0,23.23448275862069,0.009655172413793102,0.041379310344827586,0.1103448275862069,0.009655172413793102,0.017241379310344827
1,/PETIT_DEJEUNER/CACAO_CHOCOLATS_EN_POUDRE,1480.65,0.3205,8.334999999999999,55.5,64.7,4.994999999999999,0.23499999999999996,6.65,1.25,0.17350000000000004,1.8960000000000001,95.0,126.4,0.79,12.64,0.221,0.65,2.5300000000000002,0.256,0.3955
2,/BOISSONS_CHAUDES_FROIDES/BOISSONS_ENERGETIQUES,264.7916666666667,0.1591666666666667,5.295833333333333,6.370833333333334,6.795833333333333,0.6625,0.5666666666666667,1.75,0.3333333333333333,0.05833333333333333,0.5750000000000001,13.75,19.166666666666668,0.2333333333333333,3.8333333333333335,0.875,0.9375,3.8333333333333335,0.075,1.0583333333333333
3,/CHOCOLAT/CHOCOLAT,2250.6137184115523,0.1732490974729243,6.428086642599277,46.844404332129955,51.40361010830324,33.72418772563178,3.2061371841155237,2.9182671480144404,0.07220216606498195,0.003176895306859206,0.03537906137184116,1.7328519855595668,2.3104693140794224,0.01444043321299639,0.23104693140794225,0.00404332129963899,0.008664259927797834,0.04620938628158845,0.00404332129963899,0.007220216606498195
4,/CHOCOLAT/SAIN_BIO,1936.3461538461538,0.5546153846153845,8.476923076923075,25.780769230769234,55.81923076923077,22.93846153846154,2.6576923076923076,4.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,/GARNITURES_INGREDIENTS/TOMATES_EN_CONSERVE,253.42857142857142,0.23571428571428574,2.9857142857142853,10.228571428571428,10.62857142857143,0.6785714285714286,0.0,1.7571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,/GARNITURES_INGREDIENTS/DU_MONDE_ENTIER,983.021855670103,3.2534020618556694,5.822731958762889,8.082371134020619,30.435721649484545,8.974123711340205,0.425257731958763,2.454123711340206,0.0,0.006185567010309278,0.0,0.6701030927835051,0.0,0.0,0.44948453608247424,0.015257731958762887,0.02628865979381443,0.0788659793814433,0.007216494845360824,0.007731958762886598
7,/CHOCOLAT/BISCUITS_GAUFRES,2066.705882352941,0.36343137254901947,6.653921568627451,32.338235294117645,60.911764705882355,24.63137254901961,2.3627450980392157,2.7137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,/PRODUITS_SURGELES/PLATS_CUISINES,642.6785714285714,1.0546428571428572,5.946428571428571,2.3392857142857144,16.821428571428573,6.5,0.26785714285714285,1.8714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,/PLATS_CUISINES/PIZZA_MENUS_SNACKS,680.105527638191,1.010125628140703,5.557286432160805,3.9417085427135676,15.861557788944722,8.425301507537688,0.09623115577889446,2.0291457286432153,0.0,0.0,0.0,0.0,0.0,0.0,0.3065326633165829,0.0,0.0,0.0,0.0,0.0
