,name,eans,0,1,cluster_id
0,V6 Dental White Spearmint,5700626503125,chocolat,bonbons-chewing-gum,0
1,V6 Dental White Spearmint,5704592009001,chocolat,bonbons-chewing-gum,0
2,Skai the bigger gum Crunchy mint,7616500651555,chocolat,bonbons-chewing-gum,0
3,Skai the bigger gum Crunchy mint,7616500383579,chocolat,bonbons-chewing-gum,0
4,Smams Sugarfree Mint,7610276205684,chocolat,bonbons-chewing-gum,0
5,Smams Sugarfree Mint,7613269347477,chocolat,bonbons-chewing-gum,0
6,Smams Sugarfree Mint,7610276205707,chocolat,bonbons-chewing-gum,0
7,Smams Sugarfree Mint,7613269347484,chocolat,bonbons-chewing-gum,0
8,Smams Maxi Mix,7613269333234,chocolat,bonbons-chewing-gum,0
9,Smams Maxi Mix,7613269333241,chocolat,bonbons-chewing-gum,0
10,Mentos Fruit,87108675,chocolat,bonbons-chewing-gum,0
11,Mentos Fruit,8710800968074,chocolat,bonbons-chewing-gum,0
12,Bonbons Mariage,7613269332602,chocolat,bonbons-chewing-gum,0
13,Bonbons Mariage,7613269332619,chocolat,bonbons-chewing-gum,0
14,Skai Airfresh Eucamenthol,7616500647916,chocolat,bonbons-chewing-gum,0
15,Skai Airfresh Eucamenthol,7613269227854,chocolat,bonbons-chewing-gum,0
16,Skai Airfresh Eucamenthol,7616500378650,chocolat,bonbons-chewing-gum,0
17,Skai Airfresh Eucamenthol,7613269227861,chocolat,bonbons-chewing-gum,0
18,Smams Gelatinefree Fruits,7613269347453,chocolat,bonbons-chewing-gum,0
19,Smams Gelatinefree Fruits,7610276207299,chocolat,bonbons-chewing-gum,0
20,Smams Gelatinefree Fruits,7613269347460,chocolat,bonbons-chewing-gum,0
21,Smams Gelatinefree Fruits,7610276207329,chocolat,bonbons-chewing-gum,0
22,V6 white cool mint,57059815,chocolat,bonbons-chewing-gum,0
23,V6 white cool mint,7622210773470,chocolat,bonbons-chewing-gum,0
24,V6 white cool mint,7622210366047,chocolat,bonbons-chewing-gum,0
25,Larry's Raspberry-Lemon Bonbons,7610167661315,chocolat,bonbons-chewing-gum,0
26,Larry's Raspberry-Lemon Bonbons,7613269295655,chocolat,bonbons-chewing-gum,0
27,Larry's Raspberry-Lemon Bonbons,7610167752877,chocolat,bonbons-chewing-gum,0
28,Larry's Raspberry-Lemon Bonbons,7613269295662,chocolat,bonbons-chewing-gum,0
29,Alnatura gommes Aux fruits framboise,4104420057241,chocolat,bonbons-chewing-gum,0
30,Alnatura gommes Aux fruits framboise,7613269430506,chocolat,bonbons-chewing-gum,0
31,Alnatura gommes Aux fruits framboise,4104420057258,chocolat,bonbons-chewing-gum,0
32,Alnatura gommes Aux fruits framboise,7613269430513,chocolat,bonbons-chewing-gum,0
33,Tic Tac fresh mint,8000500153383,chocolat,bonbons-chewing-gum,0
34,Tic Tac fresh mint,4008400382326,chocolat,bonbons-chewing-gum,0
35,Tic Tac fresh mint,8000500160244,chocolat,bonbons-chewing-gum,0
36,Tic Tac fresh mint,4008400384009,chocolat,bonbons-chewing-gum,0
37,Love Hearts,5010478642270,chocolat,bonbons-chewing-gum,0
38,Love Hearts,5010478214477,chocolat,bonbons-chewing-gum,0
39,Love Hearts,5010478958449,chocolat,bonbons-chewing-gum,0
40,Peppermint Lozenges,7610073951159,chocolat,bonbons-chewing-gum,0
41,Peppermint Lozenges,7613312045480,chocolat,bonbons-chewing-gum,0
42,Peppermint Lozenges,7610073955416,chocolat,bonbons-chewing-gum,0
43,Peppermint Lozenges,7613312045497,chocolat,bonbons-chewing-gum,0
44,Micamu Bonbons à la crème,7610200244741,chocolat,bonbons-chewing-gum,0
45,Micamu Bonbons à la crème,23592612,chocolat,bonbons-chewing-gum,0
46,Micamu Bonbons à la crème,7617015000104,chocolat,bonbons-chewing-gum,0
47,Skai Spearmint,7616500913448,chocolat,bonbons-chewing-gum,0
48,Skai Spearmint,7616500384569,chocolat,bonbons-chewing-gum,0
49,Skai Spearmint,7616500093607,chocolat,bonbons-chewing-gum,0
50,Skai Peppermint,7616500913431,chocolat,bonbons-chewing-gum,0
51,Skai Peppermint,7616500384576,chocolat,bonbons-chewing-gum,0
52,Skai Peppermint,7616500093591,chocolat,bonbons-chewing-gum,0
53,Stimorol wild cherry,5708246004756,chocolat,bonbons-chewing-gum,0
54,Stimorol wild cherry,7622210424150,chocolat,bonbons-chewing-gum,0
55,M-Classic Lollipop mix sucettes,4260059450546,chocolat,bonbons-chewing-gum,0
56,M-Classic Lollipop mix sucettes,4260059450522,chocolat,bonbons-chewing-gum,0
57,M-Classic Lollipop mix sucettes,4260059450539,chocolat,bonbons-chewing-gum,0
58,M-Classic Lollipop mix sucettes,7613269199717,chocolat,bonbons-chewing-gum,0
59,M-Classic Lollipop mix sucettes,4260059451024,chocolat,bonbons-chewing-gum,0
60,M-Classic Lollipop mix sucettes,4260059451048,chocolat,bonbons-chewing-gum,0
61,M-Classic Lollipop mix sucettes,4260059451031,chocolat,bonbons-chewing-gum,0
62,M-Classic Lollipop mix sucettes,7613269199724,chocolat,bonbons-chewing-gum,0
63,Trolli Marshmallows,4000512015246,chocolat,bonbons-chewing-gum,0
64,Trolli Marshmallows,4000512220107,chocolat,bonbons-chewing-gum,0
65,Salbisan Pastilles pour la gorge sauge,7610167690117,chocolat,bonbons-chewing-gum,0
66,Salbisan Pastilles pour la gorge sauge,7617015008346,chocolat,bonbons-chewing-gum,0
67,Swizzels Double Lollies,5010478558434,chocolat,bonbons-chewing-gum,0
68,Swizzels Double Lollies,5010478821491,chocolat,bonbons-chewing-gum,0
69,Swizzels Double Lollies,5010478784215,chocolat,bonbons-chewing-gum,0
70,Sport Fresh Bonbons,7610167690759,chocolat,bonbons-chewing-gum,0
71,Sport Fresh Bonbons,7610167690766,chocolat,bonbons-chewing-gum,0
72,Sport Fresh Bonbons,7613312001684,chocolat,bonbons-chewing-gum,0
73,Sport Fresh Bonbons,7610167753911,chocolat,bonbons-chewing-gum,0
74,Sport Fresh Bonbons,7610167751498,chocolat,bonbons-chewing-gum,0
75,Sport Fresh Bonbons,7613312001691,chocolat,bonbons-chewing-gum,0
76,Gomz langues acidulées,7613269335122,chocolat,bonbons-chewing-gum,0
77,Gomz langues acidulées,7613269335139,chocolat,bonbons-chewing-gum,0
78,V6 Dental Peppermint,5700626501046,chocolat,bonbons-chewing-gum,0
79,V6 Dental Peppermint,5704592009049,chocolat,bonbons-chewing-gum,0
80,Cassis pastilles,7610167620305,chocolat,bonbons-chewing-gum,0
81,Cassis pastilles,7610167620299,chocolat,bonbons-chewing-gum,0
82,Cassis pastilles,7610167751634,chocolat,bonbons-chewing-gum,0
83,Cassis pastilles,7610167752440,chocolat,bonbons-chewing-gum,0
84,Gocce Liquirizia,8006150000909,chocolat,bonbons-chewing-gum,0
85,Gocce Liquirizia,8006150101019,chocolat,bonbons-chewing-gum,0
86,Bonherba aux herbes sans sucre,7610167616636,chocolat,bonbons-chewing-gum,0
87,Bonherba aux herbes sans sucre,7613269294177,chocolat,bonbons-chewing-gum,0
88,Bonherba aux herbes sans sucre,7610167751597,chocolat,bonbons-chewing-gum,0
89,Bonherba aux herbes sans sucre,7613269294184,chocolat,bonbons-chewing-gum,0
90,Skai Air Boost,7616500913479,chocolat,bonbons-chewing-gum,0
91,Skai Air Boost,7616500384583,chocolat,bonbons-chewing-gum,0
92,Skai Air Boost,7616500093638,chocolat,bonbons-chewing-gum,0
93,Dextrose multivitamin,42214670,chocolat,bonbons-chewing-gum,0
94,Dextrose multivitamin,7610167622705,chocolat,bonbons-chewing-gum,0
95,Dextrose multivitamin,4046802355722,chocolat,bonbons-chewing-gum,0
96,Dextrose multivitamin,7610167754277,chocolat,bonbons-chewing-gum,0
97,Prima Bonbons Mocca fourrés,7610167684116,chocolat,bonbons-chewing-gum,0
98,Prima Bonbons Mocca fourrés,7613269296058,chocolat,bonbons-chewing-gum,0
99,Prima Bonbons Mocca fourrés,7610167750873,chocolat,bonbons-chewing-gum,0
100,Prima Bonbons Mocca fourrés,7613269296065,chocolat,bonbons-chewing-gum,0
101,M-Classic Choco toffee,7617027937535,chocolat,bonbons-chewing-gum,0
102,M-Classic Choco toffee,7617027937542,chocolat,bonbons-chewing-gum,0
103,Gomz frites acidulées,7613269336754,chocolat,bonbons-chewing-gum,0
104,Gomz frites acidulées,7613312049372,chocolat,bonbons-chewing-gum,0
105,Gomz frites acidulées,7613269336761,chocolat,bonbons-chewing-gum,0
106,Pastilles au sureau pour la gorge,7610167649115,chocolat,bonbons-chewing-gum,0
107,Pastilles au sureau pour la gorge,7610167750187,chocolat,bonbons-chewing-gum,0
108,Trident senses tropical mix,8416400196755,chocolat,bonbons-chewing-gum,0
109,Trident senses tropical mix,7640118675931,chocolat,bonbons-chewing-gum,0
110,Trident senses tropical mix,7622300777661,chocolat,bonbons-chewing-gum,0
111,Trident senses tropical mix,38416400196756,chocolat,bonbons-chewing-gum,0
112,M-Budget bonbons Durs menthe poivrée,7613312042366,chocolat,bonbons-chewing-gum,0
113,M-Budget bonbons Durs menthe poivrée,7613312042373,chocolat,bonbons-chewing-gum,0
114,M-Classic eucalyptus,7610167630021,chocolat,bonbons-chewing-gum,0
115,M-Classic eucalyptus,7613269199281,chocolat,bonbons-chewing-gum,0
116,M-Classic eucalyptus,7610167753812,chocolat,bonbons-chewing-gum,0
117,M-Classic eucalyptus,7613269199298,chocolat,bonbons-chewing-gum,0
118,Sport Fresh,7610167690728,chocolat,bonbons-chewing-gum,0
119,Sport Fresh,7613312016107,chocolat,bonbons-chewing-gum,0
120,Sport Fresh,7610167754116,chocolat,bonbons-chewing-gum,0
121,Sport Fresh,7613312016114,chocolat,bonbons-chewing-gum,0
122,Bubble Bear Sugarfree Bubble Gum,5201295120434,chocolat,bonbons-chewing-gum,0
123,Bubble Bear Sugarfree Bubble Gum,25201295120445,chocolat,bonbons-chewing-gum,0
124,M-Classic Sweet mint,7613312127070,chocolat,bonbons-chewing-gum,0
125,M-Classic Sweet mint,7613312127087,chocolat,bonbons-chewing-gum,0
126,Bonherba Mélisse au citron sans sucre,7610167617176,chocolat,bonbons-chewing-gum,0
127,Bonherba Mélisse au citron sans sucre,7613269294351,chocolat,bonbons-chewing-gum,0
128,Bonherba Mélisse au citron sans sucre,7610167750620,chocolat,bonbons-chewing-gum,0
129,Bonherba Mélisse au citron sans sucre,7613269294375,chocolat,bonbons-chewing-gum,0
130,Isländisch-Moos-Tabletten,7610167650012,chocolat,bonbons-chewing-gum,0
131,Isländisch-Moos-Tabletten,7617027006699,chocolat,bonbons-chewing-gum,0
132,Isländisch-Moos-Tabletten,23000377,chocolat,bonbons-chewing-gum,0
133,M-Classic Plantain,7610167690827,chocolat,bonbons-chewing-gum,0
134,M-Classic Plantain,7613269199304,chocolat,bonbons-chewing-gum,0
135,M-Classic Plantain,7610167753843,chocolat,bonbons-chewing-gum,0
136,M-Classic Plantain,7613269199311,chocolat,bonbons-chewing-gum,0
137,Salbisan Pastilles gorge goût sauge,7610167690018,chocolat,bonbons-chewing-gum,0
138,Salbisan Pastilles gorge goût sauge,7617015008353,chocolat,bonbons-chewing-gum,0
139,Yupi Tropico's,4003084010619,chocolat,bonbons-chewing-gum,0
140,Yupi Tropico's,7617015003860,chocolat,bonbons-chewing-gum,0
141,Carambar Atomic,7622210104564,chocolat,bonbons-chewing-gum,0
142,Carambar Atomic,3048281440259,chocolat,bonbons-chewing-gum,0
143,Carambar Atomic,13048281440256,chocolat,bonbons-chewing-gum,0
144,Carambar Atomic,17622300709485,chocolat,bonbons-chewing-gum,0
145,Carambar Atomic,7622210169846,chocolat,bonbons-chewing-gum,0
146,Swizzels Matlow Fizzers,5010478842205,chocolat,bonbons-chewing-gum,0
147,Swizzels Matlow Fizzers,5010478785243,chocolat,bonbons-chewing-gum,0
148,Yupi Bizzl Mix,4003084168006,chocolat,bonbons-chewing-gum,0
149,Yupi Bizzl Mix,4000512363620,chocolat,bonbons-chewing-gum,0
150,Yupi Bizzl Mix,4000512147589,chocolat,bonbons-chewing-gum,0
151,Yupi Bizzl Mix,4003084351408,chocolat,bonbons-chewing-gum,0
152,Yupi Bizzl Mix,4003084171501,chocolat,bonbons-chewing-gum,0
153,Bonherba bonbons aux sureau sans sucre,7610167618012,chocolat,bonbons-chewing-gum,0
154,Bonherba bonbons aux sureau sans sucre,7613269293897,chocolat,bonbons-chewing-gum,0
155,Bonherba bonbons aux sureau sans sucre,7610167753898,chocolat,bonbons-chewing-gum,0
