id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg),endline
0,V6 White Spearmint,5700626503125,/chocolat/bonbons-chewing-gum,707.0,0.18,0.4,0.0,67.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
1,,5704592009001,/chocolat/bonbons-chewing-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
2,M-Quick Boisson au cacao,7613312049297,/petit-dejeuner/cacao-chocolats-en-poudre,1640.0,0.06,5.0,80.0,82.0,3.0,0.0,6.0,25.0,0.55,6.0,300.0,400.0,2.5,40.0,0.7,3.0,8.0,0.7,1.25,endline
3,,7610121500315,/petit-dejeuner/cacao-chocolats-en-poudre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
4,,7613312049303,/petit-dejeuner/cacao-chocolats-en-poudre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
5,,7610121930501,/petit-dejeuner/cacao-chocolats-en-poudre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
6,Skai (Crunchy mint),7616500651555,/chocolat/bonbons-chewing-gum,650.0,0.02,0.2,0.1,64.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
7,,7616500383579,/chocolat/bonbons-chewing-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
8,RedBull : Energy Drink,9002490206789,/boissons-chaudes-froides/boissons-energetiques,194.0,0.1,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,2.0,endline
9,,9002490206796,/boissons-chaudes-froides/boissons-energetiques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
10,Frey Milch Extra Chocolat au lait extra fin sans sucres ajoutés avec édulcorants,7616500912472,/chocolat/chocolat/tablettes-de-chocolat,2040.0,0.25,8.0,11.0,51.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
11,,7616500092631,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
12,,7616500357310,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
13,MIGROS BIO Choco Cookies aux pépites de chocolat,7617400037784,/chocolat/sain-bio,2142.0,0.59,7.0,27.0,61.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
14,,7624200017137,/chocolat/sain-bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
15,LONGOBARDI : Pomodori pelati,8002510010007,/garnitures-ingredients/tomates-en-conserve,100.0,0.0,1.5,4.5,4.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
16,,7610200011855,/garnitures-ingredients/tomates-en-conserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
17,,2030000003594,/garnitures-ingredients/tomates-en-conserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
18,Migros Courgette,7617027953504,/fruits-et-legumes/legumes/legumes-frais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
19,,7617027953511,/fruits-et-legumes/legumes/legumes-frais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
20,,2148636000006,/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
21,,7617023006280,/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
22,,7617023006297,/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
23,Kinder Riegel,4008400221021,/chocolat/chocolat/chocolat-pour-les-enfants,2360.0,0.31,8.7,53.3,53.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
24,,4008400222806,/chocolat/chocolat/chocolat-pour-les-enfants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
25,Namaste India PALAK PANEER Epinards et fromage frais,7613312065945,/garnitures-ingredients/du-monde-entier/inde,424.0,1.6,4.0,2.5,5.0,7.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
26,,7613312065952,/garnitures-ingredients/du-monde-entier/inde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
27,,7617027611824,/viande/saucisses/saucisses-non-fumees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
28,,7617027611831,/viande/saucisses/saucisses-non-fumees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
29,MINDOR petit berre,7617400032796,/chocolat/biscuits-gaufres,2150.0,0.4,6.0,34.0,64.0,25.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
30,,7624200010619,/chocolat/biscuits-gaufres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
31,,7624200018363,/chocolat/biscuits-gaufres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
32,,7624200014693,/chocolat/biscuits-gaufres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
33,,8710908971969,/plats-cuisines/pizza-menus-snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
34,,8710447907931,/plats-cuisines/pizza-menus-snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
35,Soupe de Chalet,7640134992128,/garnitures-ingredients/soupes-sauces-bouillon/soupes,1440.0,-1.0,12.0,0.0,65.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
36,,7640134992159,/garnitures-ingredients/soupes-sauces-bouillon/soupes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
37,Moments de détente- thé,4104420039728,/boissons-chaudes-froides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
38,,7613269435037,/boissons-chaudes-froides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
39,,7613269435044,/boissons-chaudes-froides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
40,,4104420144934,/boissons-chaudes-froides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
41,,4104420039735,/boissons-chaudes-froides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
42,M Classic Délices au poulet et au curry,7613269184584,/produits-surgeles/plats-cuisines,673.0,1.2,5.0,2.0,19.0,7.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
43,,7613032406554,/produits-surgeles/plats-cuisines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
44,,7613269184591,/produits-surgeles/plats-cuisines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
45,,7613032406561,/produits-surgeles/plats-cuisines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
46,,2186014000002,/viande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
47,,7617027757935,/viande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
48,,7617027757928,/viande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
49,Storico pastifico Garofalo trofie,8000139929113,/plats-cuisines/pizza-menus-snacks/pates,1298.0,0.15,12.0,2.0,61.0,1.0,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
50,,7613269894810,/plats-cuisines/pizza-menus-snacks/pates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
51,,7613269874058,/plats-cuisines/pizza-menus-snacks/pates-bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
52,,7613269874065,/plats-cuisines/pizza-menus-snacks/pates-bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
53,Mary Jane's American style ice cream caramel sensation ,7617400049619,/produits-surgeles/glace-entremets,1140.0,0.5,3.0,31.0,33.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
54,,7624200018707,/produits-surgeles/glace-entremets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
55,Frey Blanca Chocolat Blanc,7616500650961,/chocolat/chocolat/tablettes-de-chocolat,2470.0,0.25,6.0,52.0,52.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
56,,7616500382923,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
57,,7610276205684,/chocolat/bonbons-chewing-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
58,Smams Sugarfree Mint,7613269347477,/chocolat/bonbons-chewing-gum,1176.0,0.03,3.5,0.0,82.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
59,,7610276205707,/chocolat/bonbons-chewing-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
60,,7613269347484,/chocolat/bonbons-chewing-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
61,Frey – Milch-Nuss – Chocolat au lait avec noisettes entières,7616500010031,/chocolat/chocolat/tablettes-de-chocolat,2330.0,0.18,8.0,47.0,49.0,36.0,15.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
62,,7616500000025,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
63,,23500020,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
64,,7610121602989,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
65,Farmer Soft Myrtille \u0026 Mûre,7613269187516,/mueesli-cereales/barres-de-cereales,1760.0,0.23,6.0,34.0,59.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
