Standard name,Other names,
Énergie (kJ),Énergie (kJ),
Sel (g),Sel (g),
Protéines (g),Protéines (g),
Sucres (g),Sucres (g),
Glucides (g),Glucides (g),
Matières grasses (g),Matières grasses (g),
Acides gras saturés (g),Acides gras saturés (g),Acides gras saturées (g)
Fibres alimentaires (g),Fibres alimentaires (g),
Biotine (µg),Biotine (µg),
Vitamine B1 (Thiamine) (mg),Vitamine B1 (Thiamine) (mg),
Vitamine E (Tocopherol) (mg),Vitamine E (Tocopherol) (mg),
Acide folique (µg),Acide folique (µg),
Vitamine A (µg),Vitamine A (µg),
Vitamine D (Cholacalciferol) (µg),Vitamine D (Cholacalciferol) (µg),
Vitamine C (Acide ascorbique) (mg),Vitamine C (Acide ascorbique) (mg),
Vitamine B6 (Pyridoxine) (mg),Vitamine B6 (Pyridoxine) (mg),
Vitamine B5 (acide pantothénique) (mg),Vitamine B5 (acide pantothénique) (mg),
Vitamine B3 (Niacine) (mg),Vitamine B3 (Niacine) (mg),
Vitamine B2 (Riboflavine) (mg),Vitamine B2 (Riboflavine) (mg),
Vitamine B12 (Cobalamine) (µg),Vitamine B12 (Cobalamine) (µg),
